,Policy High rise Program switch,increase in FAR,FAR implementation year,Accelerated city growth program switch,effect of green recov,Green reconv policy start,Policy reconversion of Slums Switch,effect of reconversion rate on Policy,Slum reconv polict start year,Austerity Policy Program Switch,effect on non resi reconv of policy,reconv policy start year,Austerity effect on inflation,Auterity implementation year,Housing Finance Policy Program Switch,Housing finance effect on household spendings,Housing Finane Policy start year,Policy Relocation program Switch,effect on relocation rate,additional relocation housing factor,Housing Affordability Rating,People with No Settlements,Illegal Slum Population,Urban Non Residential Area,Green Area
0,[True],"[False, True, False]","[False, False, False, False, False, False]",[False],"[False, False, True]","[False, True, True, True, True, False]",[True],"[True, True, False]","[False, False, False, True, True, True]",[True],"[False, False, True]","[True, True, False, False, False, True]","[False, False, False]","[False, True, True, False, True, False]",[True],"[True, True, False]","[False, False, False, False, False, False]",[True],"[False, True, False]","[False, True, False]",7.221309185028076,2812862.25,600000.0,86.82911682128906,5.0
1,[True],"[True, True, False]","[False, False, False, False, False, False]",[True],"[False, False, True]","[False, False, True, True, True, False]",[True],"[True, True, False]","[False, False, False, True, True, False]",[False],"[False, False, True]","[True, True, False, False, False, True]","[False, False, False]","[False, False, True, False, True, False]",[True],"[False, True, False]","[False, False, False, False, False, False]",[True],"[True, True, False]","[False, True, False]",7.585751533508301,2791905.5,600000.0,86.84979248046875,4.765380859375
2,[True],"[False, True, False]","[False, True, False, False, True, False]",[True],"[False, False, True]","[False, False, True, True, True, False]",[True],"[True, True, False]","[False, False, False, False, False, False]",[False],"[False, False, True]","[True, True, False, False, True, True]","[False, False, False]","[False, True, True, False, True, False]",[True],"[True, True, False]","[False, False, False, False, False, False]",[True],"[True, True, False]","[False, True, False]",7.221309185028076,2736631.0,600000.0,80.73117065429688,4.4123005867004395
3,[True],"[False, True, False]","[False, False, False, False, False, False]",[True],"[False, False, True]","[False, False, True, True, True, False]",[True],"[True, True, False]","[False, False, False, True, True, True]",[False],"[False, False, True]","[True, True, False, False, False, True]","[False, False, False]","[False, True, True, False, True, False]",[True],"[False, True, False]","[False, False, False, False, False, False]",[True],"[False, True, False]","[False, True, False]",7.585751533508301,2836761.0,600000.0,87.5836410522461,4.741544246673584
4,[True],"[False, True, False]","[False, False, True, False, True, False]",[True],"[False, False, False]","[False, False, False, True, True, False]",[True],"[True, True, False]","[False, False, False, True, True, False]",[False],"[False, False, True]","[True, True, False, True, False, True]","[False, False, False]","[False, False, True, False, True, False]",[True],"[True, True, False]","[False, False, False, False, False, False]",[True],"[True, True, False]","[True, True, False]",7.221309185028076,2762471.0,600000.0,84.40995025634766,5.0
5,[True],"[False, True, True]","[False, True, False, False, True, False]",[False],"[False, False, True]","[False, False, True, True, False, False]",[True],"[True, True, False]","[False, False, False, False, False, False]",[False],"[False, False, True]","[False, False, False, True, False, True]","[False, False, False]","[False, True, True, False, True, False]",[True],"[True, True, False]","[False, False, False, False, False, False]",[True],"[True, True, False]","[False, True, False]",7.221309185028076,2732040.75,600000.0,80.66815185546875,5.0
6,[True],"[True, True, False]","[False, False, False, False, False, False]",[True],"[False, False, True]","[False, False, True, True, True, False]",[True],"[True, True, False]","[False, False, False, True, True, True]",[False],"[False, False, True]","[True, True, False, True, True, True]","[False, False, False]","[False, True, True, False, False, False]",[True],"[False, True, False]","[False, False, False, False, False, False]",[True],"[False, True, False]","[False, True, False]",7.585751533508301,2836788.0,600000.0,88.07322692871094,4.765890121459961
7,[True],"[True, True, False]","[False, False, False, False, False, False]",[True],"[False, True, True]","[False, False, True, True, False, False]",[True],"[True, True, False]","[False, False, False, True, True, True]",[False],"[False, False, False]","[False, True, True, True, True, True]","[False, False, False]","[False, True, True, False, True, False]",[True],"[False, True, False]","[False, False, False, False, False, True]",[True],"[False, True, False]","[False, True, False]",7.87174129486084,2865914.5,600000.0,89.01714324951172,4.012689590454102
8,[True],"[False, True, False]","[False, False, False, False, False, False]",[False],"[False, True, True]","[False, False, True, True, True, False]",[True],"[True, True, False]","[False, False, False, True, True, False]",[False],"[False, False, False]","[True, True, False, True, False, False]","[False, False, False]","[False, True, True, False, True, False]",[True],"[True, True, False]","[False, False, False, False, False, False]",[True],"[True, True, False]","[False, True, False]",7.221309185028076,2768039.5,600000.0,85.45526123046875,5.0
9,[True],"[False, True, False]","[False, True, False, False, True, False]",[False],"[False, False, True]","[False, False, False, True, True, False]",[True],"[True, True, False]","[False, False, False, False, True, False]",[False],"[False, False, True]","[True, True, False, True, False, True]","[False, False, False]","[False, False, True, False, True, False]",[True],"[True, True, False]","[False, False, False, False, False, False]",[True],"[True, True, False]","[False, True, False]",7.221309185028076,2744759.75,600000.0,81.80569458007812,5.0
